HIGHDEG,ICLEVEL,SAT_AVG_ALL,ADM_RATE_ALL,TUITFTE,CONTROL,GRAD_DEBT_MDN,COMP_ORIG_YR4_RT,PCTFLOAN,MD_EARN_WNE_P8,CDR3,DEP_INC_AVG,UG25ABV,UGDS,PAR_ED_PCT_PS,RPY_3YR_RT,ATDCOST
4.0,1.0,954.0,0.71600609756097,9243.0,1.0,31000.0,0.222366710013,0.6552,35438.0,0.045,34779.085684,0.0617,5098.0,0.6341719078,0.2531554273,21924.0
4.0,1.0,1266.0,0.88535192339996,11678.0,1.0,22300.0,0.454072145779,0.4401,45795.0,0.012,61110.800384,0.1794,13284.0,0.658776329,0.513963161,26248.0
4.0,1.0,869.0603412914215,0.7091008218329731,14093.0,2.0,32189.0,0.1328125,0.8423,34571.0,0.06,25211.032258,0.8606,251.0,0.4875,0.2307692308,28156.730928193516
4.0,1.0,1300.0,0.73672375021622,8246.0,1.0,20705.0,0.369397217929,0.3578,53186.0,0.016,72240.892617,0.1519,7358.0,0.6898678414,0.5485090298,24869.0
4.0,1.0,955.0,0.97991295614328,8535.0,1.0,31000.0,0.24620303757,0.7637,30177.0,0.052,34468.571812,0.0677,3495.0,0.6565656566,0.2185867473,21938.0
4.0,1.0,1244.0,0.78904316258456,13731.0,1.0,22750.0,0.576646590247,0.3454,51441.0,0.012,101976.77516,0.0735,30725.0,0.7742873113,0.6019442985,31050.0
2.0,2.0,1061.043697258832,0.8394788755478753,1731.0,1.0,9766.0,0.171003717472,0.1488,29194.0,0.043,36871.779273,0.1565,940.0,0.4503239741,0.2510056315,13930.0
4.0,1.0,1101.2469660266452,0.7986373871594366,6761.0,1.0,18051.0,0.534482758621,0.455,44817.0,0.019,56488.670561,0.5569,2511.0,0.5225035162,0.5038167939,25138.035025052595
4.0,1.0,1069.0,0.96798825256975,7879.0,1.0,25000.0,0.279424977538,0.5138,39396.0,0.03,46985.570342,0.2031,3742.0,0.61810391,0.4418886199,20621.0
4.0,1.0,1293.320873064802,0.71182881349795,17273.0,1.0,21000.0,0.664,0.2869,56937.0,0.005,98805.666232,0.04,24782.0,0.8273528809,0.7239612977,32678.0
3.0,1.0,1214.0,0.65908167411621,10137.0,2.0,25000.0,0.662962962963,0.6785,50580.0,0.026,89292.046729,0.017,1048.0,0.8275058275,0.7559912854,33920.0
2.0,2.0,1033.3142386051227,0.7048232817352698,1380.0,1.0,10500.0,0.148499210111,0.2352,31644.0,0.053,30261.245,0.3301,1107.0,0.5697329377,0.28125,9320.0
4.0,1.0,947.8745448011763,0.8013666992207704,9771.0,3.0,26123.0,0.222162162162,0.6125,29770.0,0.031,41728.602636,0.6804,337.0,0.5277116627,0.2547585843,23107.0
2.0,2.0,1096.0363293701485,0.711040919158969,3488.0,1.0,7499.0,0.101102941176,0.1968,37898.0,0.015,38516.687107,0.2244,1336.0,0.5781083953,0.4260416667,9454.0
2.0,2.0,1079.861471930092,0.765886222281513,2249.0,1.0,11000.0,0.11568627451,0.2051,30525.0,0.059,43008.967801,0.2206,5217.0,0.5648803505,0.3489905233,12881.0
4.0,1.0,1042.0,0.64600781686208,13718.0,2.0,23000.0,0.354166666667,0.6022,37927.0,0.028,52552.186589,0.4313,1696.0,0.5699680511,0.3081623745,36457.0
2.0,2.0,1033.5073178463877,0.710076011225379,2113.0,1.0,8674.221960787065,0.20596797671,0.0,28666.0,0.050564472282097886,23432.893729,0.3261,3513.0,0.4850455137,0.33008586940534523,10619.0
1.0,3.0,1028.7895640343936,0.9074495604924768,7442.0,3.0,9500.0,0.788461538462,0.6538,20662.837934293275,0.0,29933.963636,0.2281,57.0,0.5,0.4205607477,16895.0
2.0,2.0,1023.032515587834,0.6993952082180366,2844.0,1.0,8550.159359039608,0.251332149201,0.0,27392.0,0.05001393709258065,21869.523016,0.3198,3191.0,0.5148462354,0.3399910892644977,8791.0
2.0,2.0,1087.579251961045,0.8187017248202193,3154.0,1.0,11000.0,0.264331210191,0.2154,34485.0,0.026,43510.344828,0.2306,4303.0,0.501186843,0.4397394137,13196.0
